序號,學期,週次,英文,中文,音檔位置
1,,A,bird,鳥,./sound/3上學期/A-1鳥.mp3
2,,A,frog,青蛙,./sound/3上學期/A-2青蛙.mp3
3,,A,rabbit,兔子,./sound/3上學期/A-3兔子.mp3
4,,A,ox,牛,./sound/3上學期/A-4牛.mp3
5,,A,PE,體育,./sound/3上學期/A-5體育.mp3
6,,A,math,數學,./sound/3上學期/A-6數學.mp3
7,,A,lion,獅子,./sound/3上學期/A-7獅子.mp3
8,,A,tiger,老虎,./sound/3上學期/A-8老虎.mp3
9,,A,Is it a frog?,那是一隻青蛙嗎?,./sound/3上學期/A-9.mp3
10,,A,No，it's not. It's an ox.,不是，是一隻牛。,./sound/3上學期/A-10.mp3
11,,A,"A:Who's your math teacher?
B: It's Mrs. Lion.","A:誰是你的數學老師？
B:是Mrs. Lion(獅子太太)。",./sound/3上學期/A-11.mp3
12,,A,"A: Who's your PE teacher?
B: It's Mr. Tiger.","A:誰是你的體育老師？
B:是Mr. Tiger(老虎先生)",./sound/3上學期/A-12.mp3
13,,B,cook,廚師,./sound/3上學期/B-1廚師.mp3
14,,B,doctor,醫生,./sound/3上學期/B-2醫生.mp3
15,,B,nurse,護士,./sound/3上學期/B-3護士.mp3
16,,B,student,學生,./sound/3上學期/B-4學生.mp3
17,,B,tea,茶,./sound/3上學期/B-5茶.mp3
18,,B,ham,火腿,./sound/3上學期/B-6火腿.mp3
19,,B,bread,麵包,./sound/3上學期/B-7麵包.mp3
20,,B,sandwich,三明治,./sound/3上學期/B-8三明治.mp3
21,,B,Is she a doctor?,她是一位醫生嗎?,./sound/3上學期/B-9.mp3
22,,B,Yes，she is.,是的，她是。,./sound/3上學期/B-10.mp3
23,,B,What do you want for breakfast?,你早餐要吃什麼？,./sound/3上學期/B-11.mp3
24,,B,I want some bread.,我要一點麵包。,./sound/3上學期/B-12.mp3
25,,C,weather,天氣,./sound/3上學期/C-1天氣.mp3
26,,C,rainy,下雨,./sound/3上學期/C-2下雨.mp3
